,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
450,BETO SALAME,PP,PA,353299.15000000014
451,FRANCISCO CHAPADINHA,PODE,PA,503783.6500000005
452,DELEGADO ÉDER MAURO,PSD,PA,506729.39999999956
453,HÉLIO LEITE,DEM,PA,502934.5899999996
454,JOAQUIM PASSARINHO,PSD,PA,516729.3599999999
455,SIMONE MORGADO,MDB,PA,509234.2199999992
456,PEDRO CUNHA LIMA,PSDB,PB,297550.47000000026
457,VENEZIANO VITAL DO RÊGO,PSB,PB,513755.50999999995
458,ADALBERTO CAVALCANTI,AVANTE,PE,499860.2399999999
459,BETINHO GOMES,PSDB,PE,498740.20999999944
460,DANIEL COELHO,CIDADANIA,PE,458740.88999999955
461,JOÃO FERNANDO COUTINHO,PROS,PE,495903.09999999986
462,KAIO MANIÇOBA,SOLIDARIEDADE,PE,246091.04000000007
463,MARINALDO ROSENDO,PP,PE,421730.06999999913
464,RICARDO TEOBALDO,PODE,PE,496492.85
465,SEBASTIÃO OLIVEIRA,PL,PE,44.47
466,TADEU ALENCAR,PSB,PE,504117.8100000001
467,ZECA CAVALCANTI,PTB,PE,510544.580000001
468,CAPITÃO FÁBIO ABREU,PL,PI,3817.41
469,REJANE DIAS,PT,PI,29.68
470,RODRIGO MARTINS,PSB,PI,516395.210000001
471,ALIEL MACHADO,PSB,PR,464615.3299999998
472,CHRISTIANE DE SOUZA YARED,PL,PR,463849.1600000014
473,DIEGO GARCIA,PODE,PR,458414.7600000013
474,EVANDRO ROMAN,PSD,PR,455164.9299999999
475,LUCIANO DUCCI,PSB,PR,396974.4299999996
476,SERGIO SOUZA,MDB,PR,457794.4700000009
477,TONINHO WANDSCHEER,PROS,PR,470053.12000000145
